time (months),crack length (arbitary unit),rul (months)
0,0.007886134831415212,32
1,0.044996258010176975,31
2,0.0510295699158985,30
3,0.04496903189715308,29
4,0.01095534646774009,28
5,0.020744095491765972,27
6,0.014378626569867454,26
7,-0.042564848782538786,25
8,0.004703560795754791,24
9,0.06223601711035192,23
10,0.03141936022878379,22
11,0.11544455018060693,21
12,0.27095795639872805,20
13,0.060671950402705115,19
14,0.08038715366931637,18
15,0.23273527138758132,17
16,0.17062596547357553,16
17,0.14603834376500335,15
18,0.20269780337003088,14
19,0.290927659881495,13
20,0.2468781930342589,12
21,0.39367194879728745,11
22,0.34006579683390986,10
23,0.4134089447149122,9
24,0.4727716386000931,8
25,0.5283612235475222,7
26,0.6140377632238526,6
27,0.7037719881647855,5
28,0.7236982094776433,4
29,0.8728053193830314,3
30,0.876042168791056,2
31,0.8544560696660449,1
32,0.9154041142532056,0
