time (months),crack length (arbitary unit),rul (months)
0,0.003945850069101737,51
1,-0.025054487703793794,50
2,-0.01434447218455985,49
3,-0.06901905105992279,48
4,-0.01985827539861354,47
5,0.017734620546493253,46
6,-0.029357832220325564,45
7,0.03079761587346881,44
8,0.07992310269183622,43
9,-0.011676640819638612,42
10,0.060289695621681974,41
11,-0.003242593037283272,40
12,0.0454297689475406,39
13,-0.0885843778772873,38
14,0.08884527690098809,37
15,-0.022818308201380956,36
16,0.058348421910694774,35
17,0.02786583707457747,34
18,0.10217023960109439,33
19,0.008251443723125841,32
20,0.009387409211260578,31
21,0.05993498784014578,30
22,0.12656647033566681,29
23,0.0693141581426507,28
24,0.08877267461379375,27
25,0.1013735471460949,26
26,0.2054407596194011,25
27,0.19892293779675724,24
28,0.21804452030290877,23
29,0.2081349424595084,22
30,0.11055944426053302,21
31,0.3003322487732336,20
32,0.3760193972627305,19
33,0.3510398154335987,18
34,0.32636327769084106,17
35,0.4744205858335466,16
36,0.5480213367411912,15
37,0.5376251554769895,14
38,0.643300575306698,13
39,0.6487523528807727,12
40,0.607388017381349,11
41,0.7231751323574049,10
42,0.7149109389595122,9
43,0.792486558926691,8
44,0.7828394486736234,7
45,0.822639011252597,6
46,0.8769598583560463,5
47,0.7787775032646181,4
48,0.8393158949701871,3
49,0.9186999780626939,2
50,0.8328026320005981,1
51,0.850525161505994,0
