time (months),crack length (arbitary unit),rul (months)
0,0.012480539621415047,35
1,0.05517186920219934,34
2,-0.05289691035004064,33
3,0.045228508131580164,32
4,0.06840916254072736,31
5,0.021596148004948815,30
6,0.04815960666997505,29
7,0.11981579441108575,28
8,0.07593718529315896,27
9,0.01768578315788886,26
10,0.05308036527366202,25
11,-0.021236771895722442,24
12,0.0949712309749057,23
13,0.08467364733912672,22
14,0.08657664514421062,21
15,0.16476814209849622,20
16,0.17386119480654577,19
17,0.22772622379065174,18
18,0.18616577171922358,17
19,0.3089662353286138,16
20,0.3947017820198587,15
21,0.34248250150241555,14
22,0.3842223833724314,13
23,0.5214801159118588,12
24,0.47961601330890713,11
25,0.6017243489413207,10
26,0.5620484222071194,9
27,0.5814012602945653,8
28,0.6705288940952195,7
29,0.7733589131756533,6
30,0.7410613728796838,5
31,0.7550056081542986,4
32,0.7126176221055067,3
33,0.7886612410942483,2
34,0.833773428500462,1
35,0.826591689073482,0
