time (months),crack length (arbitary unit),rul (months)
0,0.0030165851787850163,24
1,-0.03900838567657976,23
2,-0.023552341179848762,22
3,-0.022289681026166054,21
4,0.0439381349601485,20
5,0.048347567929049616,19
6,0.08338679648276004,18
7,-0.0063355291989519915,17
8,0.09105117118368462,16
9,0.028116616095370688,15
10,-0.020436268005650807,14
11,0.0658849077226862,13
12,0.018602635874482035,12
13,0.09134602409224017,11
14,0.07752077702723573,10
15,0.07444819400332214,9
16,-3.4564530241962266e-05,8
17,0.03131229546251815,7
18,0.12303308774192753,6
19,0.22306058877568685,5
20,0.19178903888082818,4
21,0.18826377886637954,3
22,0.19897694076820924,2
23,0.23474750120103163,1
24,0.21345548908514123,0
25,0.3740060946378147,0
