time (months),crack length (arbitary unit),rul (months)
0,0.003529758837986904,39
1,0.017060041668091195,38
2,-0.032896073957366684,37
3,0.10261645159649052,36
4,0.0004964470877469726,35
5,-0.04532189557378466,34
6,-0.018484612070398435,33
7,0.006510195337769573,32
8,0.013671825423642621,31
9,-0.044047546992503434,30
10,-0.005725287045453904,29
11,0.06329462281548945,28
12,-0.02715233432940748,27
13,0.047261715073373255,26
14,0.03028932917164461,25
15,0.10544684003095806,24
16,0.07108821148614834,23
17,0.05353199651310697,22
18,0.14757679034495427,21
19,0.13499686612853043,20
20,0.11822679601260142,19
21,0.19300324480860825,18
22,0.23545816389237492,17
23,0.3047368820322795,16
24,0.3061143744423081,15
25,0.33694684333683506,14
26,0.47183560937102853,13
27,0.4108274317208728,12
28,0.4138911050960408,11
29,0.5369712132248602,10
30,0.573814109016853,9
31,0.5889738888731126,8
32,0.5933451441538773,7
33,0.6288999176261936,6
34,0.6815129747723997,5
35,0.7553610992104531,4
36,0.8393533705915991,3
37,0.821867384955754,2
38,0.8237921390974975,1
39,0.8628947717947789,0
