time (months),crack length (arbitary unit),rul (months)
0,0.00891048529833657,35
1,0.04526947393860911,34
2,0.03180309815881627,33
3,-0.01382318967916707,32
4,0.0513816680009509,31
5,0.07259807184524003,30
6,0.08962431143988392,29
7,0.1403972151626198,28
8,0.1326265895957092,27
9,0.0758517356278618,26
10,-0.006554786372742795,25
11,0.08173948126860461,24
12,0.1444461103657094,23
13,0.04487662787104618,22
14,0.1789240536446587,21
15,0.13477630298684254,20
16,0.14524215285647923,19
17,0.16251500705836852,18
18,0.17730751626081148,17
19,0.17784148414380102,16
20,0.3827990892155631,15
21,0.28593461580526014,14
22,0.4433029162553661,13
23,0.42387654571732214,12
24,0.47450330199648233,11
25,0.6225171144251311,10
26,0.5950232095746483,9
27,0.5409831521040905,8
28,0.6985787837024436,7
29,0.699633896956834,6
30,0.6301501671727038,5
31,0.8280335379771988,4
32,0.755665956708634,3
33,0.8406339331675422,2
34,0.8524227107011021,1
35,0.8783700563820382,0
