time (months),crack length (arbitary unit),rul (months)
0,0.010479184853248112,38
1,0.057600798899611304,37
2,-0.09250647056073298,36
3,-0.03627148181096951,35
4,-0.013126934216939109,34
5,0.01546383378711916,33
6,0.03471239277259315,32
7,-0.033132343035964865,31
8,-0.0675136121950992,30
9,0.0416625320589569,29
10,0.09072378295714571,28
11,0.15323527480953916,27
12,0.09616402032692808,26
13,0.1472936090172443,25
14,0.14754191810292946,24
15,0.08689048124798351,23
16,0.05610312226554798,22
17,0.17755298228069175,21
18,0.22047368345467377,20
19,0.17769755072402005,19
20,0.33521480493807077,18
21,0.264817270907628,17
22,0.3895276398786944,16
23,0.4156844710072555,15
24,0.3601898994720265,14
25,0.526604547374295,13
26,0.5072362354306094,12
27,0.5431880385277139,11
28,0.5698425644831663,10
29,0.6177058786436398,9
30,0.6975318103629515,8
31,0.7302985503463705,7
32,0.7910298959091258,6
33,0.7080594292287655,5
34,0.8031647899823752,4
35,0.8841775292908742,3
36,0.9067723982042087,2
37,0.8695174712034761,1
38,0.7649980894772941,0
