time (months),crack length (arbitary unit),rul (months)
0,0.005075577070971139,34
1,-0.04009692303033024,33
2,-0.06887617294170052,32
3,-0.09818995918239945,31
4,0.030647116978802014,30
5,0.06058024895235466,29
6,0.007787468985626026,28
7,0.03859425372209284,27
8,0.08345512024805585,26
9,-0.05032763468918164,25
10,-0.009446884650339535,24
11,0.08611018357586861,23
12,0.020028682432578097,22
13,0.04113889117186913,21
14,0.0897450832712537,20
15,0.1297141009524218,19
16,0.06734649904357103,18
17,0.18490270942203965,17
18,0.08332633705213459,16
19,0.16588804552365427,15
20,0.24103835753823707,14
21,0.2989635565588355,13
22,0.2937179861893163,12
23,0.3333972780747756,11
24,0.29545287816744303,10
25,0.36930647777573555,9
26,0.47427611861940794,8
27,0.5355998913536139,7
28,0.5970551527209624,6
29,0.674896131583891,5
30,0.7699943695709722,4
31,0.7860022979239394,3
32,0.7706931389596827,2
33,0.7776403045089346,1
34,0.8084186257423981,0
