time (months),crack length (arbitary unit),rul (months)
0,0.0036858465916629495,39
1,-0.014690806124430078,38
2,-0.0489118501494417,37
3,-0.0008984519310640936,36
4,-0.0073597936865751135,35
5,0.016732102337713536,34
6,-0.009442535854048187,33
7,0.026804151377547106,32
8,-0.015146738936920538,31
9,0.009385408267673352,30
10,0.10956836849255476,29
11,0.08541281410856252,28
12,0.09112560970227229,27
13,-0.0028278736200504986,26
14,-0.039860962822733964,25
15,0.08336602856695514,24
16,0.07527679318200686,23
17,0.08968398361868862,22
18,0.11510595866245649,21
19,0.13890019808658285,20
20,0.0959927197047927,19
21,0.06501377520022973,18
22,0.29620007992862996,17
23,0.26688232880033924,16
24,0.28603320230016677,15
25,0.3466515417523814,14
26,0.298669324794678,13
27,0.4609867100411251,12
28,0.43135058166657525,11
29,0.38682665804870286,10
30,0.4606512609508061,9
31,0.6766156182933692,8
32,0.6301717802839457,7
33,0.69043926297936,6
34,0.6449106115025953,5
35,0.7690419332221614,4
36,0.7569971412106956,3
37,0.8680953510084066,2
38,0.8225281595965708,1
39,0.8619536142777607,0
