time (months),crack length (arbitary unit),rul (months)
0,0.016626701282157916,29
1,-0.02492753517192964,28
2,-0.03372713676213247,27
3,-0.04197894168475286,26
4,-0.040789203226025854,25
5,0.056274575760002686,24
6,0.07227029114800855,23
7,0.08293313823019242,22
8,0.08254821579738496,21
9,0.12700531643632348,20
10,0.1760186170794859,19
11,0.04209871554680668,18
12,0.193566646289197,17
13,0.14527171980462567,16
14,0.17005254402617032,15
15,0.2415907475298989,14
16,0.2500499578575086,13
17,0.3086168982730436,12
18,0.21008360484987465,11
19,0.2636200126182717,10
20,0.37054509778090194,9
21,0.3416309202334305,8
22,0.44879743898862146,7
23,0.6458951824190754,6
24,0.5800753455688908,5
25,0.7882134035007369,4
26,0.7302094756630256,3
27,0.7247006432446572,2
28,0.8528640779515658,1
29,0.8588465288429213,0
