time (months),crack length (arbitary unit),rul (months)
0,0.005292914422265952,39
1,-0.012330184781667416,38
2,0.06235025103393467,37
3,0.10775620675999388,36
4,0.04372510515365132,35
5,0.025661482995981415,34
6,-0.05736487032609467,33
7,0.03255014935408462,32
8,-0.10030151092260918,31
9,0.07649491114477519,30
10,0.08079234787630135,29
11,-0.01715237145134757,28
12,0.11654208469134716,27
13,0.1269408434176969,26
14,0.1452359947860864,25
15,0.17456961616315558,24
16,0.10709087626616674,23
17,0.14434479030029249,22
18,0.24395447692987232,21
19,0.15702025908805345,20
20,0.08425603078371746,19
21,0.218055564763293,18
22,0.28591491361113364,17
23,0.313018935937587,16
24,0.3757814723874541,15
25,0.36123387930072637,14
26,0.4506676708031366,13
27,0.4593392828816426,12
28,0.5325381935030434,11
29,0.7173087957062696,10
30,0.6324905572439483,9
31,0.6346642513261883,8
32,0.7627094577483627,7
33,0.7396979189961421,6
34,0.7844524461220329,5
35,0.7959597249293764,4
36,0.8364737073660969,3
37,0.758577242310558,2
38,0.7866966362223639,1
39,0.8911359239734602,0
