time (months),crack length (arbitary unit),rul (months)
0,0.0027174418276819756,45
1,0.06417959679294238,44
2,0.005109836685973467,43
3,-0.011778282383306908,42
4,-0.04932633677926425,41
5,-0.0005546400321809596,40
6,-0.010552351409481506,39
7,-0.07889388562686996,38
8,-0.050139813194219965,37
9,0.0951719366176534,36
10,-0.03404044861960333,35
11,0.11390721476040137,34
12,0.03309018250771408,33
13,0.02637765906506556,32
14,0.025010976502387955,31
15,-0.01356547300761006,30
16,-0.057042487024507135,29
17,0.1372302746949122,28
18,0.10399891097744196,27
19,0.08381612397375778,26
20,0.11603722365610487,25
21,0.058501747950120864,24
22,0.031642427394225556,23
23,0.1962157495336957,22
24,0.17904393845150365,21
25,0.25333170191394816,20
26,0.23817052395332358,19
27,0.3205182416200136,18
28,0.3998551255893098,17
29,0.36027649461963707,16
30,0.4028345586285371,15
31,0.4421649571317559,14
32,0.4531139841074786,13
33,0.5159635074138487,12
34,0.555049754275501,11
35,0.5503895689325268,10
36,0.624812273042163,9
37,0.6299260120622604,8
38,0.7572505400754332,7
39,0.8229566069830332,6
40,0.7875387690255296,5
41,0.7565077015398045,4
42,0.7165733202755462,3
43,0.8719544714902543,2
44,0.816140463253321,1
45,0.8767052386771492,0
