time (months),crack length (arbitary unit),rul (months)
0,0.008609077521308729,39
1,-0.05540415092377271,38
2,-0.0747459762280219,37
3,0.014344787378287075,36
4,-0.010453187652136892,35
5,0.06426194887858395,34
6,0.05835815349147129,33
7,0.035928209955668214,32
8,-0.02788675815629032,31
9,0.04027934895516555,30
10,-0.036231279826167466,29
11,0.05102896278033356,28
12,0.12566790409768988,27
13,0.20353459495903997,26
14,0.13081485677134322,25
15,0.06468087163944995,24
16,0.1368400519221862,23
17,0.16697915055183188,22
18,0.23272466133396896,21
19,0.17991646118461355,20
20,0.26612487456039347,19
21,0.1695421321007875,18
22,0.36714211039160455,17
23,0.34867102788665916,16
24,0.3885124308846513,15
25,0.3642944640083058,14
26,0.5226973640882471,13
27,0.4901935118129854,12
28,0.5677607714960943,11
29,0.5518471428019629,10
30,0.638546475099531,9
31,0.6940782249326645,8
32,0.6787630692484636,7
33,0.6818302591785115,6
34,0.7621478203749976,5
35,0.7749982448070678,4
36,0.7877798026330137,3
37,0.8202138759466002,2
38,0.8195825390799811,1
39,0.8850316318971809,0
