time (months),crack length (arbitary unit),rul (months)
0,0.00427268997406876,42
1,-0.06287026754013067,41
2,0.01618625286580662,40
3,0.0729266719695282,39
4,-0.04450746381759345,38
5,0.023480343829492,37
6,-0.0162213427786507,36
7,0.04937684473278508,35
8,0.04889174031610327,34
9,-0.014489809626218316,33
10,0.04592718411586037,32
11,-0.0735509310559398,31
12,-0.04849073007882248,30
13,0.05970776460311116,29
14,0.04106307507363927,28
15,0.054880056483291764,27
16,0.1092595108584718,26
17,0.15920315164486795,25
18,0.12591495544185316,24
19,0.2034883423468154,23
20,0.13450829887837196,22
21,0.16247332052661753,21
22,0.21599521478320577,20
23,0.1716197145295379,19
24,0.2425363873390881,18
25,0.2878790109239587,17
26,0.40787824635643666,16
27,0.3486966098146232,15
28,0.4153438715261316,14
29,0.5969551830931025,13
30,0.595132562035999,12
31,0.5278147657317018,11
32,0.5699202787504387,10
33,0.586427060292707,9
34,0.6764403049330656,8
35,0.7402960203376702,7
36,0.7086121054471781,6
37,0.7563469978977152,5
38,0.7262060588466287,4
39,0.7394619653922642,3
40,0.8312332751097914,2
41,0.86431179281164,1
42,0.8533522060305646,0
