time (months),crack length (arbitary unit),rul (months)
0,0.0038190321828826448,42
1,-0.004701286738721088,41
2,-0.0023470366688478905,40
3,-0.06190447504992597,39
4,-0.022180880979960786,38
5,-0.05876820107521659,37
6,-0.031230525197594568,36
7,-0.03505332986440904,35
8,0.05320687480125254,34
9,-0.03300158472135076,33
10,0.022116133918674428,32
11,-0.0388233339023991,31
12,-0.02515797702531007,30
13,0.032684473745365025,29
14,0.0055079364929718905,28
15,0.11150884415563422,27
16,0.06609011116000832,26
17,0.10506385755506717,25
18,0.08702786048305136,24
19,0.06584576427122835,23
20,0.05607208464306712,22
21,0.23363445829414234,21
22,0.1788039542661781,20
23,0.2230455560104117,19
24,0.19612393334855324,18
25,0.32979331532642175,17
26,0.30361429135515355,16
27,0.32789262512468126,15
28,0.36274639318290924,14
29,0.3895655961027542,13
30,0.3832775674345933,12
31,0.5936127742698053,11
32,0.5275421853046426,10
33,0.6126008062505072,9
34,0.5959148714724845,8
35,0.702253373764754,7
36,0.673118612377176,6
37,0.6615845674659703,5
38,0.7494239880038474,4
39,0.7390576852578922,3
40,0.8594606086934825,2
41,0.8969770775936763,1
42,0.7275483009171939,0
