time (months),crack length (arbitary unit),rul (months)
0,0.014307187101274984,36
1,0.1031834240050177,35
2,0.009383445280866955,34
3,0.07611683947523942,33
4,0.055132455414087456,32
5,0.11939898909770202,31
6,0.004127284307533084,30
7,0.1289948244622402,29
8,0.017409257515619468,28
9,0.10983558582904444,27
10,0.06438775884160355,26
11,0.07496165273383955,25
12,0.05828545595855896,24
13,0.16062416592350837,23
14,0.16195006628801115,22
15,0.20063252536204207,21
16,0.16590008462221284,20
17,0.2884439145381452,19
18,0.2964148194398942,18
19,0.2803911726433897,17
20,0.33551114677519556,16
21,0.4128334710531741,15
22,0.5039852632449283,14
23,0.49127018040658454,13
24,0.5309662202305767,12
25,0.7227228147648803,11
26,0.5973935594162083,10
27,0.6569572306996758,9
28,0.6993100581255722,8
29,0.7416743501721361,7
30,0.7102584612834373,6
31,0.7309149124015325,5
32,0.8346968271910935,4
33,0.8068011751604186,3
34,0.8221498302046958,2
35,0.7972427683240764,1
36,0.9342331450691154,0
