time (months),crack length (arbitary unit),rul (months)
0,0.006791660477283598,36
1,-0.09463158584933362,35
2,0.028123858620438744,34
3,-0.002185373375921666,33
4,0.040987980097644865,32
5,0.0028045329801933677,31
6,0.09757739437172966,30
7,-0.029042464620503076,29
8,0.0151504688563022,28
9,0.02199805313693386,27
10,0.052301517248259474,26
11,0.07128818272639371,25
12,0.004214602955790708,24
13,0.05826663377492139,23
14,0.1438546215437951,22
15,0.10106730291752959,21
16,0.1066045335255389,20
17,0.1871528000910683,19
18,0.0637179005663222,18
19,0.15839274406057738,17
20,0.2650724182441119,16
21,0.2778516581773064,15
22,0.29037474066793445,14
23,0.3329428019740877,13
24,0.37836939732601044,12
25,0.33435308320356544,11
26,0.5179884862694975,10
27,0.4981057043875684,9
28,0.6123343961243876,8
29,0.5224984421179143,7
30,0.6363237210595932,6
31,0.6791445618910776,5
32,0.6874167598221073,4
33,0.6816066768884838,3
34,0.7373941104816593,2
35,0.8530348961605638,1
36,0.7602949539775065,0
