time (months),crack length (arbitary unit),rul (months)
0,0.011401652176801745,37
1,0.06303628034690573,36
2,0.008534540013623956,35
3,-0.011072140906294978,34
4,-0.0072510683680828344,33
5,-0.023091184807139013,32
6,0.04269517696227076,31
7,-0.03374485967322184,30
8,0.02038973305385433,29
9,0.031166511578736303,28
10,0.16147308286952833,27
11,0.0005143789699685458,26
12,0.05085345493456293,25
13,0.09942008085113781,24
14,0.1415126465240487,23
15,0.12228147428490133,22
16,0.16096713407113686,21
17,0.1910072433806334,20
18,0.14322818610315283,19
19,0.21849349408927526,18
20,0.20414611138627936,17
21,0.22387325931352137,16
22,0.35519991962138153,15
23,0.3569685342499637,14
24,0.41723517847151176,13
25,0.5103252010067298,12
26,0.4707145226095975,11
27,0.507516862810797,10
28,0.5192887954740694,9
29,0.6106509740809973,8
30,0.6898688949089335,7
31,0.6909091298248395,6
32,0.7169752065925524,5
33,0.7809138746339916,4
34,0.7705269013036962,3
35,0.7832225522342838,2
36,0.901466508832854,1
37,0.8391034018783772,0
