time (months),crack length (arbitary unit),rul (months)
0,0.013836747095836868,30
1,-0.03571831335683411,29
2,0.09539016217301602,28
3,0.01512220669528952,27
4,0.06797428426586635,26
5,-0.05563559934984808,25
6,0.05269238736437597,24
7,0.027828925212347914,23
8,0.0504889326877976,22
9,0.014539103851436995,21
10,0.0037314870335287964,20
11,0.10739786296879197,19
12,0.11157410654716779,18
13,0.2063061879554514,17
14,0.21705061617573812,16
15,0.23719784498110702,15
16,0.07815560733388627,14
17,0.2911503529628633,13
18,0.43587564723249944,12
19,0.35962532463290137,11
20,0.4163430233979062,10
21,0.49994599899279424,9
22,0.5462931844544758,8
23,0.4810675032743207,7
24,0.6116133963018258,6
25,0.6394480422850406,5
26,0.6950583681359721,4
27,0.849724431443639,3
28,0.8589055443460492,2
29,0.8026308847031873,1
30,0.7618750840000897,0
