time (months),crack length (arbitary unit),rul (months)
0,0.006764353437482564,35
1,-0.07452823785760036,34
2,-0.0176661480803212,33
3,-0.04195863799891905,32
4,0.001958963884913418,31
5,0.03134816231591394,30
6,0.08275948991647786,29
7,0.03871320798619267,28
8,-0.09098654256998298,27
9,0.07103403404793276,26
10,0.04302766149609915,25
11,0.05432603530405707,24
12,0.09114480022747787,23
13,0.09018118262774254,22
14,0.08235383389961434,21
15,0.29436645981538495,20
16,0.1606817809809506,19
17,0.2552413675759163,18
18,0.14015521936111242,17
19,0.16111364450743712,16
20,0.3311770952814693,15
21,0.344301147256904,14
22,0.2812901800056813,13
23,0.36603074429007604,12
24,0.32676747687065544,11
25,0.4705261229778223,10
26,0.5422076298849465,9
27,0.5777874713497052,8
28,0.6376723805714682,7
29,0.545522108946478,6
30,0.743502238036458,5
31,0.6613663049845618,4
32,0.8431996728601625,3
33,0.7541470781434557,2
34,0.8721409393141344,1
35,0.9383059092456144,0
