time (months),crack length (arbitary unit),rul (months)
0,0.012092756447552184,36
1,0.005873997311060522,35
2,0.03350322265756794,34
3,-0.012028015995854253,33
4,0.018189011583702938,32
5,0.051187263492426784,31
6,0.1250271068151719,30
7,0.028836205796500446,29
8,0.02925930535719294,28
9,0.02086239887841356,27
10,0.09159323339471423,26
11,0.05632078868888174,25
12,-0.05843908076113366,24
13,0.11413221745161982,23
14,0.10000046589424255,22
15,0.13368171136511475,21
16,0.17052333384018048,20
17,0.17069343743636445,19
18,0.19462615241736514,18
19,0.21957328966265688,17
20,0.27603585816280235,16
21,0.25565411374007446,15
22,0.3467337778980489,14
23,0.3564477675247207,13
24,0.45555034166213126,12
25,0.42056412026682277,11
26,0.4710720091880431,10
27,0.5012881011855075,9
28,0.5770127212418039,8
29,0.5926269320979307,7
30,0.6555219236678324,6
31,0.6957649980244062,5
32,0.7712921338901182,4
33,0.7633379552997405,3
34,0.7857650258542083,2
35,0.7630568116594271,1
36,0.8484634026087464,0
