time (months),crack length (arbitary unit),rul (months)
0,0.011040244720388354,39
1,-0.01615380741645252,38
2,0.053585428448389885,37
3,0.10792076023694853,36
4,0.1167159881797122,35
5,0.03608859693600312,34
6,0.03431102599054384,33
7,0.01976413171549769,32
8,0.0704592333416323,31
9,0.10261046256900333,30
10,0.004097163716781371,29
11,0.062271481293037,28
12,0.1278735499480692,27
13,0.08340217499446356,26
14,0.07088498560143863,25
15,0.1391845573173425,24
16,0.16240908861437003,23
17,0.08577129043932746,22
18,0.18454878497549412,21
19,0.186297893320267,20
20,0.2481047061381141,19
21,0.28317430066076543,18
22,0.3486170270721683,17
23,0.34324821770551656,16
24,0.4968262411706364,15
25,0.40198790497707537,14
26,0.4910287350371265,13
27,0.5490570244080377,12
28,0.6654296540892388,11
29,0.6621772283037443,10
30,0.6306888609834332,9
31,0.7765701332411818,8
32,0.7027103191012439,7
33,0.7991137131582668,6
34,0.8085396878828779,5
35,0.8863830124483469,4
36,0.927844462708336,3
37,0.9161225998474218,2
38,0.829654830351157,1
39,0.793805966317495,0
