time (months),crack length (arbitary unit),rul (months)
0,0.014825149704320431,36
1,0.05084539457686184,35
2,-0.04291777467445672,34
3,0.00017497305455524415,33
4,0.02649459566853542,32
5,-0.02198610216218916,31
6,0.09820553826848319,30
7,0.05489360058666415,29
8,0.047654633529927395,28
9,0.0674260051276468,27
10,0.13422689228408913,26
11,0.17204216323134852,25
12,0.206657322178315,24
13,0.17947787243672836,23
14,0.1436558824941704,22
15,0.18380034169751014,21
16,0.2017054520297779,20
17,0.2362271582741923,19
18,0.20695936072450502,18
19,0.21351490075125806,17
20,0.4002738534146584,16
21,0.431361926277021,15
22,0.2912062215150176,14
23,0.4903583101798328,13
24,0.570613100800818,12
25,0.6616839507042325,11
26,0.7517242951082846,10
27,0.6916052479293103,9
28,0.6613389672548053,8
29,0.813486402559687,7
30,0.753459647141316,6
31,0.8045066556190469,5
32,0.7678757497950749,4
33,0.7316306381227157,3
34,0.8024792087572208,2
35,0.7648102285578658,1
36,0.8497539787701996,0
