time (months),crack length (arbitary unit),rul (months)
0,0.0026489841806584965,50
1,-0.06321898460041031,49
2,-0.08307423796198121,48
3,0.08478651562774973,47
4,-0.05493693528922631,46
5,-0.023917047049124205,45
6,-0.0650888825385019,44
7,-0.009245554265172488,43
8,0.009156535273727447,42
9,0.04641477704881338,41
10,0.028288828172761765,40
11,0.029311329659521015,39
12,0.07616973255767118,38
13,0.01512424048997536,37
14,0.05764968447999055,36
15,-0.03898350122585131,35
16,0.02738155490547075,34
17,-0.046587621562834365,33
18,0.06553446099256137,32
19,0.11915279654595251,31
20,0.059506558878285425,30
21,0.06672591000740816,29
22,0.1354778460432755,28
23,0.1813469176251841,27
24,0.25254825904443895,26
25,0.13464249511206233,25
26,0.18009431104991314,24
27,0.18948529948154322,23
28,0.3140469576643883,22
29,0.31187945960334734,21
30,0.28722944705076064,20
31,0.36097587797022285,19
32,0.4883747228948136,18
33,0.41739085398093,17
34,0.4311926758587748,16
35,0.543304048396211,15
36,0.6137415480705275,14
37,0.6133183085758023,13
38,0.6593942632594326,12
39,0.5974174849120513,11
40,0.7743913685733279,10
41,0.8253031040188588,9
42,0.734453847701495,8
43,0.737772748216581,7
44,0.8286418423468319,6
45,0.7419071197950674,5
46,0.881584180386308,4
47,0.8549826733047298,3
48,0.8056684288036801,2
49,0.8329893895467896,1
50,0.8663719647290736,0
