time (months),crack length (arbitary unit),rul (months)
0,0.004089091860287826,48
1,0.10578246307248057,47
2,-0.04693898537341104,46
3,0.07575474250253422,45
4,-0.00030314933123318927,44
5,0.07125245701321162,43
6,-0.03352091712940415,42
7,0.026368136931932195,41
8,0.033500857533731464,40
9,0.03856234741023994,39
10,-0.1094478270048925,38
11,0.11638102838573823,37
12,0.057763289823277206,36
13,0.05493709938066358,35
14,0.08730206633859838,34
15,0.016348709320239345,33
16,0.06516336171746513,32
17,0.11624620597830423,31
18,0.1674157837871349,30
19,0.1619450499997776,29
20,0.1446620082112471,28
21,0.2146866892769413,27
22,0.18626541399341093,26
23,0.16301051056543925,25
24,0.26198122211575714,24
25,0.2842053499681998,23
26,0.3253590177127253,22
27,0.40001836826590537,21
28,0.41625384854064784,20
29,0.4913099167064834,19
30,0.4371420799852061,18
31,0.4551635905409448,17
32,0.48414065393660716,16
33,0.6490751934654012,15
34,0.7146141460404598,14
35,0.6707494117886762,13
36,0.7260149842735412,12
37,0.6768613171872752,11
38,0.745049508677625,10
39,0.741838453611398,9
40,0.8179219314047657,8
41,0.9548011928173324,7
42,0.8492530852089148,6
43,0.7863462073461936,5
44,0.8338505685458923,4
45,0.8172676254272062,3
46,0.861726528209784,2
47,0.7816804302593089,1
48,0.880299263439912,0
