time (months),crack length (arbitary unit),rul (months)
0,0.0023773163433308308,48
1,-0.012184549170589731,47
2,0.08905354868825448,46
3,-0.005622116901130152,45
4,-0.06790417840272855,44
5,0.047600962416701954,43
6,0.028823900175817586,42
7,0.051535170884590115,41
8,0.01743058019286592,40
9,0.07097711453528634,39
10,0.009896869449173857,38
11,0.025900945827747504,37
12,-0.021735487183260294,36
13,0.03654225878509196,35
14,0.08969111471112118,34
15,-0.06905667951981533,33
16,0.04279847987872222,32
17,0.09716264253055992,31
18,0.07477646373992897,30
19,0.15839597080274992,29
20,0.011845368436688472,28
21,0.12658809015136874,27
22,0.11693920672187844,26
23,0.13849605410129495,25
24,0.1391653137233747,24
25,0.25659178738071386,23
26,0.15199119228216865,22
27,0.24497395976785413,21
28,0.3833640331769307,20
29,0.39353630092053954,19
30,0.35548509486036817,18
31,0.4258325412498563,17
32,0.4554024090569452,16
33,0.4540357307811532,15
34,0.48911365190864364,14
35,0.5883332783322276,13
36,0.609281709845451,12
37,0.6548763985847965,11
38,0.6854876923358667,10
39,0.669023343533586,9
40,0.716635627481646,8
41,0.7329079896099568,7
42,0.7585411446160056,6
43,0.7297119900977401,5
44,0.7051205078321526,4
45,0.8455675923411162,3
46,0.8021018864632217,2
47,0.9543252007942318,1
48,0.9266413246195958,0
