time (months),crack length (arbitary unit),rul (months)
0,0.016337316154513302,39
1,-0.008601968972228941,38
2,-0.0686463352945158,37
3,0.02174383481667373,36
4,-0.014188950849771183,35
5,0.02601597508232731,34
6,0.06719616702569471,33
7,0.03166112508014388,32
8,0.09451705782702571,31
9,0.16363506424368457,30
10,0.041142762990753604,29
11,0.10411641544606375,28
12,0.08302791389625372,27
13,0.1568630247923179,26
14,0.17731848629008273,25
15,0.23484195458250548,24
16,0.2704409091250172,23
17,0.3693074064918805,22
18,0.30008243023303627,21
19,0.2557393651815674,20
20,0.34294518174746674,19
21,0.3922842304492819,18
22,0.40725202493834606,17
23,0.4770352953911591,16
24,0.5929318924843573,15
25,0.5269729130887215,14
26,0.62534301103258,13
27,0.5988909046528483,12
28,0.7435426217849702,11
29,0.7002131361969838,10
30,0.7512942859305125,9
31,0.6836777061545142,8
32,0.7943148527601769,7
33,0.8567907321808741,6
34,0.7676748531857205,5
35,0.8063870882356372,4
36,0.8331088548395795,3
37,0.8489398323473837,2
38,0.8863830633275059,1
39,0.888933637094805,0
