time (months),crack length (arbitary unit),rul (months)
0,0.012660595030673683,50
1,-0.053973898135793646,49
2,0.059116149868896704,48
3,-0.0358313805612695,47
4,0.04382684698937388,46
5,0.010956920246794264,45
6,0.02263523219460755,44
7,0.025328365991741632,43
8,0.10038448051594494,42
9,0.05216004088497194,41
10,0.05754177213078695,40
11,0.027525902114259045,39
12,0.12110897308035298,38
13,0.001867277639462761,37
14,0.1185200036585478,36
15,0.07966609149081746,35
16,0.21221792531805025,34
17,0.17661744347816927,33
18,0.2151544753843891,32
19,0.1768536804137327,31
20,0.20017529652415036,30
21,0.38132366545777224,29
22,0.281722018505272,28
23,0.33959850988684326,27
24,0.26789771875958346,26
25,0.3998358928454878,25
26,0.4489281903389817,24
27,0.5428573050025226,23
28,0.5140074314840132,22
29,0.5270028123908764,21
30,0.5926596909082453,20
31,0.6985268256282832,19
32,0.6368619782474858,18
33,0.6503760689674355,17
34,0.7505107032962497,16
35,0.7633427524473004,15
36,0.7543419321813862,14
37,0.726289703226128,13
38,0.7886123737112278,12
39,0.7501061155991808,11
40,0.8574716429751604,10
41,0.8018690079793133,9
42,0.7722863900028776,8
43,0.7672708391467274,7
44,0.8585035085617142,6
45,0.8060288822073258,5
46,1.0007965640255725,4
47,0.9170201768769854,3
48,0.7548592502882093,2
49,0.7960061461845596,1
50,0.8295197530999998,0
