time (months),crack length (arbitary unit),rul (months)
0,0.0024280584487396902,39
1,0.02077012682398625,38
2,0.04267178849104392,37
3,-0.03135918435305876,36
4,-0.0021697330966646902,35
5,-0.018317014241422153,34
6,0.00802662134398976,33
7,-0.027324415333131513,32
8,-0.018417333286234412,31
9,-0.010252968968653554,30
10,0.004809211075411412,29
11,0.04270626635437758,28
12,0.04447144272971028,27
13,-0.07233937328270218,26
14,0.07889738647494257,25
15,0.10704285994856347,24
16,0.023416811680230812,23
17,0.10007387657302932,22
18,0.10419928426573588,21
19,0.08413328699566083,20
20,0.07807730531594187,19
21,0.11696554200870099,18
22,0.18085967487203589,17
23,0.14115498403238597,16
24,0.22900468740759158,15
25,0.22175743376031268,14
26,0.2036580797183878,13
27,0.3056868005545883,12
28,0.32861762991835075,11
29,0.3177633140365982,10
30,0.4990809607403376,9
31,0.45806384190306665,8
32,0.5560016732298545,7
33,0.5133792475020402,6
34,0.6759323736496113,5
35,0.8590214358673682,4
36,0.834708286352413,3
37,0.8329910572622343,2
38,0.8998639105634383,1
39,0.8958363101521483,0
